Country Name,Country Code,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Albania,ALB,AG.LND.FRST.K2,7799.6,7787.4,7775.2,7763,7753.4,7743.8,7734.2,7724.6,7715,
Albania,ALB,NY.GDP.MKTP.CD,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13219857459,11398392444,
Albania,ALB,NY.GDP.MKTP.KD.ZG,5.900000009,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.800000001,
Albania,ALB,NY.GNP.PCAP.CD,3480,4050,4280,4360,4390,4360,4480,4440,4280,
Albania,ALB,NY.GNP.PCAP.PP.CD,7490,8270,8680,9550,10180,10450,10600,11170,11310,
Albania,ALB,NY.GNP.ATLS.CD,10343305951,11947254619,12539577880,12709489034,12765821981,12658733936,12973151448,12846898325,12355634128,
Albania,ALB,NY.GNP.MKTP.PP.CD,22251287762,24373881305,25421356215,27819963300,29573581637,30303111322,30710220300,32329207455,32684138578,
Albania,ALB,NE.GDI.TOTL.ZS,38.65553205,35.77842821,34.55779326,30.30867972,31.41358,28.32854969,28.35861851,24.59094123,27.42022128,
Albania,ALB,SE.PRM.ENRR,99.09313202,99.51950073,97.52532959,99.01331329,101.8157425,104.7843933,107.7845612,112.4866409,,
Albania,ALB,SE.SEC.ENRR,81.28086853,83.64891815,85.40930939,88.41163635,90.84835052,92.74147034,95.83157349,96.42608643,,
Albania,ALB,TX.VAL.TECH.MF.ZS,1.314305132,3.469615642,0.764653339,0.893509249,0.530148791,0.443274093,0.513330673,0.120347982,1.487346477,
Albania,ALB,SH.IMM.MEAS,97,98,97,99,99,98,99,98,98,
Albania,ALB,NE.IMP.GNFS.ZS,54.78820068,56.43714442,53.75869562,53.02454351,56.74917812,51.98686783,53.4805518,47.22479756,44.90416764,
Albania,ALB,SH.STA.ACSN,88.9,89.6,90.2,90.9,91.5,92.1,92.7,93.2,93.2,
Albania,ALB,SH.H2O.SAFE.ZS,95.9,95.8,95.7,95.6,95.5,95.4,95.2,95.1,95.1,
Albania,ALB,SI.DST.FRST.20,,8.87,,,,8.85,,,,
Albania,ALB,NV.IND.TOTL.ZS,25.33435489,29.0216757,28.21559469,28.69054658,28.15350161,26.4525978,26.36833087,24.64759699,25.42460157,
Albania,ALB,NY.GDP.DEFL.KD.ZG,3.576194799,3.85766182,2.422634225,4.489981434,2.310201067,1.039960616,0.218876859,1.422337385,0.159535419,
Albania,ALB,IT.NET.USER.P2,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,
Albania,ALB,SP.DYN.LE00.IN,76.47029268,76.65207317,76.84036585,77.03695122,77.24058537,77.44397561,77.64046341,77.83046341,,
Albania,ALB,TG.VAL.TOTL.GD.ZS,49.20179559,51.27900897,46.8326992,49.8916435,56.99147073,55.60377164,56.59301482,57.94633583,54.81470978,
Albania,ALB,MS.MIL.XPND.GD.ZS,1.82076528,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408458226,1.347370244,1.161134785,
Albania,ALB,IT.CEL.SETS.P2,73.35038415,58.91235149,78.1845877,85.468247,98.29153459,110.6865316,116.1572081,105.4699657,106.3802068,
Albania,ALB,SH.DYN.MORT,18.7,17.9,17.3,16.6,16,15.5,14.9,14.4,14,
Albania,ALB,TT.PRI.MRCH.XD.WD,89.78956951,88.76850627,88.69473299,91.80944665,91.69524068,93.38479938,92.29916696,89.89265301,87.97657722,
Albania,ALB,SM.POP.NETM,-252926,,,,,-91750,,,,
Albania,ALB,DT.ODA.ALLD.CD,307190000,363270000,356960000,364190000,380980000,350290000,269400000,280050000,,
Albania,ALB,IQ.SCI.OVRL,80,76.66666667,77.77777778,70,70,73.33333333,68.88888889,75.55555556,72.22223333,82.22223333
Albania,ALB,BX.TRF.PWKR.CD.DT,1468020000,1495038254,1318476280,1156021682,1125664516,1027055045,1093922787,1141665182,1046987607,
Albania,ALB,EN.POP.DNST,108.394781,107.5662044,106.8437591,106.314635,106.0138686,105.8484307,105.7172263,105.6078102,105.4440511,
Albania,ALB,SP.POP.GROW,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.283303108,-0.156175016,-0.124031847,-0.103552395,-0.155183807,
Albania,ALB,SP.POP.TOTL,2970017,2947314,2927519,2913021,2904780,2900247,2896652,2893654,2889167,
Albania,ALB,SI.POV.DDAY,,0.37,,,,1.06,,,,
Albania,ALB,SI.POV.NAHC,,12.4,,,,14.3,,,,
Albania,ALB,SH.DYN.AIDS.ZS,,,,,,,,,,
Albania,ALB,SH.STA.MALN.ZS,,,6.300000191,,,,,,,
Albania,ALB,SE.PRM.CMPT.ZS,97.80805969,95.13124084,94.08692932,92.8441391,98.04717255,103.6188431,94.52274323,107.8213196,,
Albania,ALB,GC.REV.XGRT.GD.ZS,,,,,,,22.65430273,24.55459781,,
Albania,ALB,SE.ENR.PRSC.FM.ZS,0.985800028,0.988160014,1.002930045,0.984440029,0.968909979,0.960770011,0.951499999,0.943859994,,
Albania,ALB,NV.SRV.TETC.ZS,54.79084751,51.55778956,52.37462449,50.65126458,50.88837424,51.88672188,51.12857916,52.43217026,52.44346588,
Albania,ALB,AG.SRF.TOTL.K2,28750,28750,28750,28750,28750,28750,28750,28750,28750,
Albania,ALB,GC.TAX.TOTL.GD.ZS,,,,,,,16.83967227,18.31355202,,
Albania,ALB,ER.PTD.TOTL.ZS,,,,,,,,1.91,,
Albania,ALB,IC.REG.DURS,37,10,6,6,6,5,5,5,5,5
Albania,ALB,DT.TDS.DECT.EX.ZS,6.123384785,5.402327428,7.085112146,10.25587381,11.77309202,14.21711141,14.31951003,17.48962378,27.85181893,
Albania,ALB,SP.URB.GROW,1.49221507,1.435124211,1.473287913,1.609373264,1.773496394,1.857335519,1.795607114,1.732019541,1.598580321,
Algeria,DZA,SP.ADO.TFRT,9.687,10.0358,10.3846,10.7334,11.0822,11.431,11.1112,10.7914,10.4716,
Algeria,DZA,NV.AGR.TOTL.ZS,7.6884525,6.680704895,10.06624348,9.029438453,8.615298363,9.395778166,10.64823583,11.09494072,13.05174037,
Algeria,DZA,ER.H2O.FWTL.ZS,,,,,,74.88888889,,74.88888889,,
Algeria,DZA,SH.STA.BRTC.ZS,,,,,,,96.6,,,
Algeria,DZA,EN.ATM.CO2E.PC,3.195864593,3.168524491,3.430128957,3.30716434,3.300557789,3.471949931,3.51478009,,,
Algeria,DZA,SP.DYN.CONU.ZS,,,,,,55.9,57.1,,,
Algeria,DZA,FS.AST.DOMS.GD.ZS,-3.636038353,-12.69826751,-8.953418545,-6.626648708,-4.514253502,-2.111637368,3.004281232,18.02715946,39.76460234,
Algeria,DZA,EG.USE.ELEC.KH.PC,891.8050862,945.1019574,864.6455448,1014.980537,1121.628999,1236.130029,1277.374628,,,
Algeria,DZA,EG.USE.PCAP.KG.OE,1075.194127,1070.725369,1151.451071,1112.401935,1138.912729,1227.723437,1245.992191,,,
Algeria,DZA,NE.EXP.GNFS.ZS,47.06816283,47.97334517,35.37165079,38.44454767,38.78811891,36.89259527,33.2180496,30.52928467,,
Algeria,DZA,DT.DOD.DECT.CD,6134509000,6246392000,7420897000,7260316000,6064669000,5515626000,5245583000,5521298000,4676992000,
Algeria,DZA,SP.DYN.TFRT.IN,2.661,2.744,2.818,2.873,2.903,2.909,2.893,2.857,,
Algeria,DZA,BX.KLT.DINV.CD.WD,1686736540,2638607034,2746930734,2300369124,2571237025,1500402453,1691886708,1503453102,-403397081.1,
Algeria,DZA,AG.LND.FRST.K2,16888,17652,18416,19180,19256,19332,19408,19484,19560,
Algeria,DZA,NY.GDP.MKTP.CD,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.67E+11,
Algeria,DZA,NY.GDP.MKTP.KD.ZG,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.9,
Algeria,DZA,NY.GNP.PCAP.CD,3590,4200,4280,4470,4590,5200,5520,5490,4870,
Algeria,DZA,NY.GNP.PCAP.PP.CD,11700,12090,12160,12620,12900,13300,13520,13960,14310,
Algeria,DZA,NY.GNP.ATLS.CD,1.23E+11,1.46E+11,1.52E+11,1.61E+11,1.69E+11,1.95E+11,2.11E+11,2.14E+11,1.93E+11,
Algeria,DZA,NY.GNP.MKTP.PP.CD,4.01E+11,4.21E+11,4.30E+11,4.55E+11,4.74E+11,4.98E+11,5.16E+11,5.44E+11,5.68E+11,
Algeria,DZA,NE.GDI.TOTL.ZS,34.46948099,37.3484366,46.87646007,41.43029251,37.97094826,39.09320566,43.38368007,45.60687597,,
Algeria,DZA,SE.PRM.ENRR,109.6284027,109.3120575,112.4307404,115.4546127,116.7469177,118.2673569,119.7516632,118.7494736,,
Algeria,DZA,SE.SEC.ENRR,70.28121185,76.75585175,93.07003021,97.17192078,99.86019135,,,,,
Algeria,DZA,TX.VAL.TECH.MF.ZS,0.716136566,0.656696365,0.625863298,0.504620349,0.161139885,0.130478689,0.192235191,0.156630406,0.151223545,
Algeria,DZA,SH.IMM.MEAS,92,88,92,95,95,95,95,95,95,
Algeria,DZA,NE.IMP.GNFS.ZS,24.86996314,28.71117646,35.95267761,31.42211417,28.6039269,28.4543187,30.40838801,31.98122984,,
Algeria,DZA,SH.STA.ACSN,85.8,86.1,86.4,86.6,86.8,87,87.2,87.4,87.6,
Algeria,DZA,SH.H2O.SAFE.ZS,87,86.6,86.2,85.7,85.3,84.9,84.5,84,83.6,
Algeria,DZA,SI.DST.FRST.20,,,,,,,,,,
